,id,mol_weight,formula,P,O,I,H,Se,Mo,X,Mg,Br,As,F,R,N,C,Zn,S,Cl,Co,polymer
3361,C04586,204.2203,C9H16O5,0,5,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
3362,C16221,,C18H33OSR,0,1,0,33,0,0,0,0,0,0,0,1,0,18,0,1,0,0,0
3363,C04559,156.136,C7H8O4,0,4,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3364,C04411,176.1672,C7H12O5,0,5,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3365,C04673,219.1952,C7H13N3O5,0,5,0,13,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0
3366,C04434,202.1183,C7H6O7,0,7,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3367,C04377,788.6934,C31H45N6O16P,1,16,0,45,0,0,0,0,0,0,0,0,6,31,0,0,0,0,0
3368,C05111,400.6801,C28H48O,0,1,0,48,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
3369,C15777,398.6642,C28H46O,0,1,0,46,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
3370,C18311,156.136,C7H8O4,0,4,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
3371,C20395,619.3213,C17H23N3O18P2,2,18,0,23,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0
3372,C04742,320.4663,C20H32O3,0,3,0,32,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
