,Node,Degree Centrality,PageRank,Betweenness Centrality,formula,mol_weight
131,C01494,0.002135611318739989,0.00043218852452236284,0.0032188687921278457,C10H10O4,194.184
132,C00188,0.0023135789286349885,0.00043205990630737435,0.0008029355375208288,C4H9NO3,119.1192
133,C00141,0.0023135789286349885,0.00043118216865259786,0.0011033846296033551,C5H8O3,116.1152
134,C00334,0.0023135789286349885,0.00043016274155402087,0.0004158818024410769,C4H9NO2,103.1198
135,C00596,0.00195764370884499,0.0004284067092797034,5.786886529376747e-05,C5H6O3,114.0993
136,C00186,0.0023135789286349885,0.0004262172668821714,0.0007224289109152623,C3H6O3,90.0779
137,C00222,0.0023135789286349885,0.00042519685588113135,0.0009380155919081112,C3H4O3,88.0621
138,C02814,0.00195764370884499,0.0004198879146046159,0.0011301764375799914,C6H6O3,126.11
139,C00081,0.0024915465385299874,0.0004185755203203937,0.0002317001511777377,C10H15N4O14P3,508.1658
140,C00246,0.001779676098949991,0.0004177407886744335,0.0020940385610386004,C4H8O2,88.1051
141,C00292,0.001779676098949991,0.0004075450138273568,0.0011642159277502877,C6H7N,93.1265
142,C00325,0.001779676098949991,0.00040549779218576246,0.0011600447480795287,C16H25N5O15P2,589.3417
143,C00270,0.00195764370884499,0.0004044850828198209,0.00017105596972892163,C11H19NO9,309.2699
144,C02051,0.002135611318739989,0.0004042109025295533,0.0001642971706824946,C8H14NOS2R,999.0
145,C00212,0.002135611318739989,0.0004041934358690626,0.0008094896712977409,C10H13N5O4,267.2413
146,C00735,0.0014237408791599928,0.00040171914016390157,0.002777414658232511,C21H30O5,362.4599
147,C00954,0.00195764370884499,0.00039949130636659374,0.0011084808205980437,C10H9NO2,175.184
148,C00094,0.001779676098949991,0.00039912770074983456,0.002709614372249176,H2SO3,82.0791
149,C12137,0.001601708489054992,0.00039761684833580053,0.0013596826226692676,C21H21O10,433.3854
150,C00090,0.00195764370884499,0.0003966979790870645,0.00034584867232667225,C6H6O2,110.1106
151,C00694,0.001601708489054992,0.0003965253460351303,0.0005369823916739634,C14H24NO11R,999.0
152,C00355,0.001779676098949991,0.0003925582397034667,0.0014784714502712318,C9H11NO4,197.1879
153,C00346,0.002135611318739989,0.0003921889844150324,0.001514711003980808,C2H8NO4P,141.063
154,C01424,0.001779676098949991,0.0003913996528209964,0.0012456849122091179,C7H6O5,170.1195
155,C00410,0.0014237408791599928,0.0003900832752295793,0.0017052796006495519,C21H30O2,314.4617
156,C00322,0.00195764370884499,0.00038985094715321986,0.0009528122010434712,C6H8O5,160.1247
157,C00179,0.00195764370884499,0.0003887683121004116,0.00037633828954242854,C5H14N4,130.1915
158,C00069,0.001601708489054992,0.00038841827514977316,0.00020090507762733493,HOR,999.0
159,C00416,0.002135611318739989,0.0003846650251645238,0.0013457398136952833,C5H7O8PR2,999.0
160,C03187,0.0014237408791599928,0.0003842608296720598,0.0018451776191063468,C16H26N2O15P2,548.3296
161,C00561,0.001601708489054992,0.00038321937436382007,0.0018304535302396127,C8H7NO,133.1473
162,C00114,0.00195764370884499,0.0003831742783361923,0.0010524658147171542,C5H14NO,104.1708
163,C01197,0.00195764370884499,0.00038258874763604444,0.0012423978295148645,C9H8O4,180.1574
164,C01137,0.001779676098949991,0.00038002874916882526,0.0012729180707753795,C14H23N6O3S,355.4358
165,C07535,0.001601708489054992,0.0003775163581049052,2.4923128470436645e-06,C20H12,252.3093
166,C00136,0.001779676098949991,0.00037543223384848835,0.0004063335315653852,C25H42N7O17P3S,837.624
167,C00688,0.001601708489054992,0.00037425158930709496,0.0025187258104361525,C16H24N2O15P2,546.3137
168,C00068,0.00195764370884499,0.00036818551036807846,0.0004821261871728762,C12H19N4O7P2S,425.3144
169,C00509,0.0014237408791599928,0.0003680527867735034,0.000764721833290724,C15H12O5,272.2528
170,C01151,0.002135611318739989,0.0003676288717156798,0.00039972654175156726,C5H12O11P2,310.0897
171,C00147,0.00195764370884499,0.0003659980459238528,0.00028255533687421026,C5H5N5,135.1267
172,C00544,0.001601708489054992,0.00036359917527564414,0.0009665482872472667,C8H8O4,168.1467
173,C05764,0.0014237408791599928,0.0003634758870427452,0.0007767430340988469,C16H31OSR,999.0
174,C00232,0.00195764370884499,0.0003611204459618552,0.00026164928436250997,C4H6O3,102.0886
175,C00587,0.001779676098949991,0.00035726969512670214,0.0009354663937721644,C7H6O3,138.1207
176,C00897,0.001779676098949991,0.0003572599907837494,0.0009649236590614697,C12H22O11,342.2965
177,C00671,0.001779676098949991,0.000356461344756524,0.0012869870892161632,C6H10O3,130.1418
178,C00620,0.00195764370884499,0.00035633368945110284,0.00042956871233036116,C5H11O8P,230.1098
179,C00441,0.00195764370884499,0.00035629277613124263,0.00039470034904732354,C4H7NO3,117.1033
180,C00535,0.0012457732692649937,0.0003555421298781037,0.0007519224609205745,C19H28O2,288.4244
181,C02389,0.001779676098949991,0.00035551360785101416,0.0003244303241486132,C6H5O2,109.1027
182,C00149,0.00195764370884499,0.00035427291973613354,0.0008605337123588217,C4H6O5,134.0874
183,C00035,0.00195764370884499,0.00035386646229598414,0.0008785702907400464,C10H15N5O11P2,443.2005
184,C01060,0.0014237408791599928,0.0003538198553391471,0.0018211416318141451,C9H9I2NO3,432.9816
185,C00492,0.001601708489054992,0.00035274959599309734,0.0008594896965119282,C18H32O16,504.4371
186,C01481,0.001779676098949991,0.00035238342208667833,0.000924582271819943,C9H8O4,180.1574
187,C14786,0.0014237408791599928,0.00035211990000139597,0.0006287001883037088,C10H8O,144.1699
188,C01180,0.001779676098949991,0.00034766704648856773,0.002000815107306193,C5H8O3S,148.1802
189,C02105,0.0014237408791599928,0.0003469563193745131,0.0008855881961509672,C19H23NO4,329.3902
190,C00160,0.001601708489054992,0.00034641581144525656,0.0007535792237294867,C2H4O3,76.0514
191,C03692,0.0014237408791599928,0.00034535534959111196,0.001358002898234336,C11H16O10R2,999.0
192,C00234,0.001601708489054992,0.0003451346367320261,0.0013112669505103067,C20H23N7O7,473.4393
193,C07587,0.001779676098949991,0.00034485580053739655,0.00036981931953668776,C7H5O3.,160.1026
194,C00084,0.001779676098949991,0.00034369565112468415,0.000587076607958284,C2H4O,44.0526
195,C00251,0.001601708489054992,0.00034270521077041946,0.0009645627163605356,C10H10O6,226.1828
196,C00344,0.001601708489054992,0.00034218883925769437,0.0007982292022106129,C8H13O10PR2,999.0
197,C00143,0.001779676098949991,0.00034105162656291856,0.00012071301734942964,C20H23N7O6,457.4399
198,C00628,0.001779676098949991,0.0003406769347586994,0.00013106289803768289,C7H6O4,154.1201
199,C03788,0.0014237408791599928,0.0003397012283915125,0.0015573084716798138,C4H6N2O3R2,999.0
200,C00332,0.001779676098949991,0.0003392643489040935,0.0002685541331908211,C25H40N7O18P3S,851.6075
201,C00189,0.001779676098949991,0.00033878153374401385,0.0004309273253602952,C2H7NO,61.0831
202,C00018,0.00195764370884499,0.0003382710867505911,0.0006792208500320324,C8H10NO6P,247.1419
203,C07086,0.001601708489054992,0.00033732499506112135,0.000715659629355955,C8H8O2,136.1479
204,C00482,0.001601708489054992,0.00033651763731646164,0.002761649337191931,C11H12O5,224.21
205,C00158,0.001779676098949991,0.00033587703433057804,0.000875710083607483,C6H8O7,192.1235
206,C00177,0.001601708489054992,0.00033521242148788413,0.00014460330417717524,CN,26.0174
207,C00632,0.0014237408791599928,0.0003347827817726712,0.0011104825813113071,C7H7NO3,153.1354
208,C12458,0.0014237408791599928,0.00033409039543146524,0.0024517792323537828,C12H14O3,206.2378
209,C00588,0.001779676098949991,0.00033228321897937375,0.0027254853602245903,C5H15NO4P,184.1507
210,C00979,0.0014237408791599928,0.00033070384226663714,0.0021465055154190147,C5H9NO4,147.1293
211,C00183,0.001601708489054992,0.00033044663719225027,0.0009811700645967756,C5H11NO2,117.1463
212,C00209,0.001779676098949991,0.00032535762522296815,0.00044774694839845683,C2H2O4,90.0349
213,C00196,0.001601708489054992,0.0003251945554285901,0.0003133052949542008,C7H6O4,154.1201
214,C00258,0.001779676098949991,0.0003239963102056066,0.0004373794035668736,C3H6O4,106.0773
215,C01290,0.001601708489054992,0.0003223888578327503,0.00046277277978846846,C31H56NO13R,999.0
216,C00197,0.001779676098949991,0.00032225405214510037,0.0045215616482017235,C3H7O7P,186.0572
217,C00530,0.001601708489054992,0.00032082996747689543,0.00028295017853995503,C6H6O2,110.1106
218,C00364,0.001779676098949991,0.0003203572603463843,0.0016266920524201807,C10H15N2O8P,322.2085
219,C02923,0.0014237408791599928,0.0003203318815005806,1.9998098560093518e-05,C7H8O2,124.1372
220,C00249,0.0014237408791599928,0.00031967099722141523,0.003042534640554275,C16H32O2,256.4241
221,C00542,0.001779676098949991,0.0003194374301450798,0.00015213729912712297,C7H14N2O4S,222.2621
222,C01194,0.001601708489054992,0.00031781237053359854,0.0004199436357520571,C11H17O13PR2,999.0
223,C00148,0.0014237408791599928,0.000316117718231133,0.0008496325495085385,C5H9NO2,115.1305
224,C03205,0.0010678056593699946,0.0003153213047425614,0.00117893495409748,C21H30O3,330.4611
225,C00003,0.001779676098949991,0.00031517227839225853,0.0001024443784163872,C21H28N7O14P2,664.433
226,C00286,0.001779676098949991,0.0003148039951832199,9.210157430627137e-05,C10H16N5O13P3,507.181
227,C04076,0.001601708489054992,0.0003140254992388749,0.0005851221145694352,C6H11NO3,145.1564
228,C00498,0.001779676098949991,0.00031243914340197977,0.00019056742866222986,C16H25N5O15P2,589.3417
229,C00383,0.001601708489054992,0.00031171085282464454,0.00044598775391106954,C3H4O4,104.0615
230,C05903,0.0012457732692649937,0.00031119951468242197,0.0004672056453662742,C15H10O6,286.2363
231,C00233,0.001601708489054992,0.00031105543129016626,0.0010814322360011759,C6H10O3,130.1418
232,C00061,0.0014237408791599928,0.00031076830449903515,0.0008480150467849924,C17H21N4O9P,456.3438
233,C00137,0.0014237408791599928,0.00031062797055601143,0.0007817501122475661,C6H12O6,180.1559
234,C03771,0.001601708489054992,0.0003105122978095029,0.0004350931032950376,C6H11N3O3,173.1698
235,C00584,0.0008898380494749955,0.00031042973435326627,0.002721592957728544,C20H32O5,352.4651
236,C00483,0.0014237408791599928,0.0003098596263469769,0.0003775551865175437,C8H11NO,137.179
237,C00755,0.0012457732692649937,0.00030946928944169396,0.0008612754374505384,C8H8O3,152.1473
238,C04884,0.001601708489054992,0.00030941922426631696,0.0004739935693737266,C50H86N3O26R,999.0
239,C00163,0.001601708489054992,0.00030744233084868883,0.000573059547616944,C3H6O2,74.0785
240,C07645,0.0007118704395799964,0.00030740139541447135,0.0009290885664360295,C7H15Cl2N2O3P,277.0854
241,C01243,0.001601708489054992,0.00030730032385621484,0.0003970230543988525,C6H15O15P3,420.0956
242,C00460,0.001779676098949991,0.0003069552258223194,7.493639212034698e-05,C9H15N2O14P3,468.1417
243,C00110,0.0014237408791599928,0.00030668756478495425,0.0012746147615745303,C20H37O4P(C5H8)n,999.0
244,C00095,0.001601708489054992,0.00030655126367396944,0.0002297977263332301,C6H12O6,180.1559
245,C06622,0.0012457732692649937,0.0003058334149153284,0.0024206011784209374,C16H24N2O14P2,530.3143
246,C01822,0.0012457732692649937,0.0003041447402940604,0.0006591736054800694,C18H36N4O11,484.4986
247,C01161,0.0014237408791599928,0.000303171922371521,0.00017843965245394942,C8H8O4,168.1467
248,C06730,0.0012457732692649937,0.00030293152495262774,9.944929743621234e-05,C7H8O2,124.1372
249,C00593,0.0014237408791599928,0.0003023308981305806,0.0005838345503994809,C2H4O4S,124.1158
250,C00814,0.0010678056593699946,0.0003020989072978771,0.0006278244293776386,C16H12O5,284.2635
251,C00288,0.001601708489054992,0.0003002763868909162,0.00048416117804674834,HCO3,61.0168
252,C12211,0.0012457732692649937,0.0002999952283962064,0.0013817474968970376,C15H25N3O16P2,565.317
253,C04164,0.0012457732692649937,0.0002995971574442561,0.0011220044810233232,C15H18O7,310.2992
254,C01794,0.0012457732692649937,0.00029900503562760593,0.00029229138006697103,C45H74N7O20P3S,1158.0902
255,C05178,0.0012457732692649937,0.0002986452822315701,0.0005397861071495989,C19H23NO4,329.3902
256,C02794,0.0014237408791599928,0.0002982516765378933,0.0012111061562385247,C10H12N2O4,224.2133
257,C01217,0.0010678056593699946,0.0002982045706550466,0.0007589009133596943,C30H45N6O16P,776.6827
258,C05925,0.0012457732692649937,0.00029725388613493554,0.0010267367365691517,C9H14N5O7P,335.2105
259,C02737,0.0014237408791599928,0.00029641883889195217,0.00108043826909179,C8H12NO10PR2,999.0
260,C05431,0.0008898380494749955,0.0002960748766985975,0.0016611849403050493,C40H58,538.8885
261,C00307,0.001601708489054992,0.0002959848559515921,0.00035753326658983375,C14H26N4O11P2,488.324
262,C01083,0.0014237408791599928,0.0002958896753395439,0.0008069074714256605,C12H22O11,342.2965
263,C00357,0.001601708489054992,0.0002954999539089285,0.0011045793052872593,C8H16NO9P,301.1877
264,C00356,0.0014237408791599928,0.0002947526904200579,0.0010568049404121097,C27H44N7O20P3S,911.6594
265,C02972,0.001601708489054992,0.00029465671768508944,3.980747919961908e-05,C8H16NOS2R,999.0
266,C01018,0.0012457732692649937,0.00029444553754395293,0.00019517066904006902,C6H12O5,164.1565
267,C00398,0.0014237408791599928,0.00029423987618720006,0.0001538594563845123,C10H12N2,160.2157
268,C00696,0.0008898380494749955,0.000294077095498969,0.0015308128836892026,C20H32O5,352.4651
269,C16556,0.0007118704395799964,0.00029406889133161234,0.0011138326087381434,C7H15Cl2N2O3P,277.0854
270,C04756,0.001601708489054992,0.0002937000969314518,8.284652199590909e-05,C8H14NO7PR2,999.0
271,C02139,0.0010678056593699946,0.00029309618466247483,0.0017711769794114156,C35H34MgN4O5,614.9733
272,C02283,0.0008898380494749955,0.0002924856985777362,0.00136196856885468,C30H46O4,470.6838
273,C12247,0.0008898380494749955,0.0002924856985777362,0.00136196856885468,C35H45NO11,655.7319
274,C19885,0.0014237408791599928,0.00029229818647540735,0.0007356860987508055,C5H8NO4R,999.0
275,C00347,0.0012457732692649937,0.00029181397388284674,0.0015308000716228807,C3H5O2R,999.0
276,C00101,0.0014237408791599928,0.00029173212734233617,0.00016726550930006902,C19H23N7O6,445.4292
277,C00239,0.001601708489054992,0.00029098862135135166,0.000511577785182976,C9H14N3O7P,307.1971
278,C05631,0.0010678056593699946,0.00029068700077108565,0.000837480446192393,C15H12O6,288.2522
279,C00689,0.001601708489054992,0.000290328787987672,0.0002836918577289796,C12H23O14P,422.2764
280,C00327,0.001601708489054992,0.00028966440543708725,0.00040969627441149226,C6H13N3O3,175.1857
281,C00602,0.0012457732692649937,0.00028887928215567076,0.00027773754302950354,C6H11O6R,999.0
282,C00266,0.0014237408791599928,0.00028868237111556917,0.0005102740640134639,C2H4O2,60.052
283,C01324,0.0008898380494749955,0.0002872529818003194,0.0005347310813210952,Br,79.904
284,C00642,0.0014237408791599928,0.0002868923599763338,0.0007833133527729899,C8H8O3,152.1473
285,C00414,0.0010678056593699946,0.0002857157376237939,0.0008272856972118129,C6H10O,98.143
286,C02370,0.0012457732692649937,0.0002855534495435626,0.0014362772007946072,C7H5ClO2,156.5664
287,C00376,0.0010678056593699946,0.00028455498403982284,0.0010917913097970814,C20H28O,284.4357
288,C02593,0.0008898380494749955,0.0002839303809614172,0.0010563074025123366,C35H62N7O17P3S,977.8898
