id,mol_weight,formula
C01617,304.2516,C15H12O7
C01620,136.1033,C4H8O5
C01677,284.2685,C11H16N4O5
C01693,193.1562,C9H7NO4
C01694,396.6484,C28H44O
C01729,270.28,C16H14O4
C01743,323.3428,C12H25N3O7
C01746,85.1475,C5H11N
C01759,454.4727,C17H34N4O10
C01760,224.2961,C13H20O3
C01761,350.411,C21H22N2O3
C01767,150.2176,C10H14O
C01780,360.444,C21H28O5
C01785,110.1106,C6H6O2
C01788,533.3182,C15H25N3O14P2
C01789,400.6801,C28H48O
C01792,490.6364,C10Cl10O
C01802,384.6377,C27H44O
C01822,484.4986,C18H36N4O11
C01823,484.4986,C18H36N4O11
C01832,949.8366,C33H58N7O17P3S
C01868,150.2176,C10H14O
C01876,274.4409,C19H30O
C01881,274.4409,C19H30O
C01888,73.0938,C3H7NO
C01892,150.2192,C4H6O2S2
C01907,527.5199,C27H29NO10
C01920,917.7517,C31H50N7O17P3S
C01943,426.7174,C30H50O
C01944,893.7303,C29H50N7O17P3S
C01951,150.2176,C10H14O
C01983,152.1473,C8H8O3
C01987,109.1259,C6H7NO
C02035,332.3909,C19H24O5
C02041,1062.0492,C41H74N7O17P3S
C02050,1029.9643,C39H66N7O17P3S
C02051,,C8H14NOS2R
C02059,450.6957,C31H46O2
C02061,,C8H8O2(C5H8)n
C02090,723.8623,C27H49N9O10S2
C02094,536.8726,C40H56
C02099,224.2546,C15H12O2
C02105,329.3902,C19H23NO4
C02106,327.3743,C19H21NO4
C02117,326.5139,C20H38O3
C02139,614.9733,C35H34MgN4O5
C02140,346.4605,C21H30O4
C02143,,C5H9O5R
C02165,336.4657,C20H32O4
C02199,550.3024,C15H24N2O16P2
C02206,246.3016,C15H18O3
C02217,186.2481,C10H18O3
C02222,158.1088,C6H6O5
C02231,117.0602,C3H3NO4
C02232,909.6436,C27H42N7O20P3S
C02249,1053.9857,C41H66N7O17P3S
C02283,470.6838,C30H46O4
C02289,150.2176,C10H14O
C02295,144.1253,C6H8O4
C02325,210.2265,C11H14O4
C02343,151.2056,C9H13NO
C02344,154.2493,C10H18O
C02366,147.1739,C9H9NO
C02431,164.1565,C6H12O5
C02452,152.2334,C10H16O
C02480,142.1094,C6H6O4
C02495,270.2369,C15H10O5
C02497,86.0892,C4H6O2
C02501,158.1088,C6H6O5
C02526,186.2066,C12H10O2
C02593,977.8898,C35H62N7O17P3S
C02617,158.1534,C10H6O2
C02646,150.1745,C9H10O2
C02660,149.2129,C8H7NS
C02779,178.14,C6H10O6
C02780,192.1235,C6H8O7
C02782,180.1559,C6H12O6
C02804,118.1311,C5H10O3
C02814,126.11,C6H6O3
C02880,612.9574,C35H32MgN4O5
C02890,355.4275,C21H25NO4
C02906,320.251,C15H12O8
C02909,158.1965,C11H10O
C02923,124.1372,C7H8O2
C02937,174.1992,C10H10N2O
C02939,851.6505,C26H44N7O17P3S
C02944,947.8207,C33H56N7O17P3S
C02952,182.2164,C10H14O3
C02975,158.195,C8H14O3
C03012,160.1693,C10H8O2
C03037,166.217,C10H14O2
C03051,292.4562,C19H32O2
C03064,134.0874,C4H6O5
C03067,122.1213,C7H6O2
C03070,374.5567,C24H38O3
C03164,210.228,C14H10O2
C03167,124.0325,C2H5O4P
C03198,168.1467,C8H8O4
C03205,330.4611,C21H30O3
C03223,198.1296,C8H6O6
C03233,198.1296,C8H6O6
C03277,154.1234,C6H6N2O3
C03329,339.385,C20H21NO4
C03344,865.6341,C26H42N7O18P3S
C03393,216.0832,C4H9O8P
C03394,200.0838,C4H9O7P
C03434,247.8909,C6H2Cl4O2
C03505,154.0584,C3H7O5P
C03585,176.5545,C6H5ClO4
C03586,142.1094,C6H6O4
C03588,362.4599,C21H30O5
C03594,402.6529,C27H46O2
C03671,184.1031,C7H4O6
C03681,316.4776,C21H32O2
C03684,237.2153,C9H11N5O3
C03715,,C3H6O6PR
C03765,136.1479,C8H8O2
C03767,142.1525,C7H10O3
C03827,162.1406,C6H10O5
C03901,147.1955,C5H9NO2S
C03918,210.9996,C6H4Cl2O4
C04000,206.2378,C12H14O3
C04039,134.1305,C5H10O4
C04044,182.1733,C9H10O4
C04053,176.1241,C6H8O6
C04067,202.2045,C9H14O5
C04088,,C18H35OSR
C04104,148.1571,C6H12O4
C04112,156.136,C7H8O4
C04180,,C10H17OSR
C04188,260.202,C6H13O7PS
C04236,174.1513,C7H10O5
C04244,239.2312,C9H13N5O3
C04246,,C4H5OSR
C04280,221.2111,C7H15N3O5
C04324,202.1183,C7H6O7
C04330,787.6854,C31H44N6O16P
C04453,398.6642,C28H46O
C04525,398.6642,C28H46O
C04558,156.136,C7H8O4
C04573,621.3372,C17H25N3O18P2
C04577,318.4504,C20H30O3
C04578,384.4687,C22H28N2O4
C04613,589.3384,C17H25N3O16P2
C04618,,C4H7O2SR
C04620,,C8H15O2SR
C04633,,C16H31O2SR
C04654,352.4651,C20H32O5
C04670,158.1519,C7H10O4
C04671,352.4651,C20H32O5
C04685,336.4657,C20H32O4
C04688,,C14H27O2SR
C04751,339.1959,C9H14N3O9P
C04760,1200.17,C48H80N7O20P3S
C04874,255.2306,C9H13N5O4
C04875,293.4012,C17H27NO3
C04896,577.331,C15H25N5O15P2
C05103,398.6642,C28H46O
C05104,384.6377,C27H44O
C05108,412.6908,C29H48O
C05110,400.6801,C28H48O
C05136,573.3423,C16H25N5O14P2
C05139,304.4238,C19H28O3
C05141,288.3814,C18H24O3
C05174,325.3585,C19H19NO4
C05178,329.3902,C19H23NO4
C05179,327.3743,C19H21NO4
C05191,333.3374,C20H15NO4
C05194,363.3634,C21H17NO5
C05223,,C12H23OSR
C05258,1021.9423,C37H66N7O18P3S
C05262,965.836,C33H58N7O18P3S
C05264,937.7828,C31H54N7O18P3S
C05266,909.7297,C29H50N7O18P3S
C05268,881.6765,C27H46N7O18P3S
C05270,865.6771,C27H46N7O17P3S
C05274,921.7834,C31H54N7O17P3S
C05279,945.8048,C33H54N7O17P3S
C05284,302.4079,C19H26O3
C05291,304.4238,C19H28O3
C05306,893.489,C55H72MgN4O5
C05307,907.4725,C55H70MgN4O6
C05316,393.3894,C22H19NO6
C05366,358.3851,C20H22O6
C05413,544.9362,C40H64
C05414,542.9203,C40H62
C05430,540.9044,C40H60
C05431,538.8885,C40H58
C05432,536.8726,C40H56
C05433,536.8726,C40H56
C05434,538.8885,C40H58
C05435,536.8726,C40H56
C05444,420.6682,C27H48O3
C05447,1182.1547,C48H78N7O19P3S
C05448,1200.17,C48H80N7O20P3S
C05450,1216.1694,C48H80N7O21P3S
C05451,402.6529,C27H46O2
C05453,418.6523,C27H46O3
C05470,364.4758,C21H32O5
C05471,364.4758,C21H32O5
C05472,366.4917,C21H34O5
C05473,362.4599,C21H30O5
C05475,348.4764,C21H32O4
C05476,350.4923,C21H34O4
C05477,346.4605,C21H30O4
C05478,348.4764,C21H32O4
C05480,318.4935,C21H34O2
C05484,320.5093,C21H36O2
C05487,348.4764,C21H32O4
C05528,168.1253,C3H4O6S
C05533,204.1342,C7H8O7
C05576,170.1626,C8H10O4
C05618,144.5557,C6H5ClO2
C05631,288.2522,C15H12O6
C05641,253.1651,C10H7NO7
C05644,217.2206,C12H11NO3
C05668,839.5968,C24H40N7O18P3S
C05710,,C2H4NO3R
C05746,,C6H9O2SR
C05748,,C6H9OSR
C05751,,C8H13OSR
C05754,,C10H17OSR
C05756,,C12H21O2SR
C05760,,C14H25OSR
C05763,,C16H29OSR
C05764,,C16H31OSR
C05904,271.2448,C15H11O5
C05905,287.2442,C15H11O6
C05906,306.2675,C15H14O7
C05908,303.2436,C15H11O7
C05923,513.1856,C9H18N5O14P3
C05953,334.4498,C20H30O4
C05954,334.4498,C20H30O4
C05957,334.4498,C20H30O4
C05961,370.4804,C20H34O6
C05963,370.4804,C20H34O6
C05965,336.4657,C20H32O4
C06028,879.6176,C26H40N7O19P3S
C06055,215.0985,C4H10NO7P
C06102,130.1418,C6H10O3
C06171,297.3484,C18H19NO3
C06203,192.1681,C10H8O4
C06319,896.9326,C44H56N4O16
C06322,873.6561,C28H42N7O17P3S
C06341,418.6523,C27H46O3
C06367,196.0521,C4H5O7P
C06427,278.4296,C18H30O2
C06428,302.451,C20H30O2
C06455,112.0218,CH5O4P
C06472,194.1394,C6H10O7
C06485,162.1406,C6H10O5
C06523,127.2273,C8H17N
C06526,324.4168,C20H24N2O2
C06528,294.3908,C19H22N2O
C06536,214.2631,C13H14N2O
C06576,150.2176,C10H14O
C06579,198.2158,C10H14O4
C06585,222.6675,C12H11ClO2
C06599,181.0166,C6H6Cl2O2
C06600,179.0008,C6H4Cl2O2
C06611,92.5242,C3H5ClO
C06620,528.2984,C16H22N2O14P2
C06622,530.3143,C16H24N2O14P2
C06649,388.5009,C14H11Cl5O2
C06661,197.1449,C8H7NO5
C06675,222.1726,C6H6O7S
C06678,188.201,C7H8O4S
C06711,182.2179,C13H10O
C06714,925.686,C28H46N7O20P3S
C06718,514.5014,C18H30N2O13S
C06721,218.2716,C12H10O2S
C06725,191.1834,C10H9NO3
C06727,140.1797,C8H12O2
C06749,891.6713,C28H44N7O18P3S
C06757,122.1644,C8H10O
C06892,178.14,C6H10O6
C06899,165.403,C2H3Cl3O2
C07084,138.1638,C8H10O2
C07093,181.0166,C6H6Cl2O2
C07097,179.0008,C6H4Cl2O2
C07102,160.5551,C6H5ClO3
C07112,122.1644,C8H10O
C07185,144.2114,C8H16O2
C07209,120.1485,C8H8O
C07213,122.1644,C8H10O
C07276,170.2487,C10H18O2
C07282,,C11H22N4O2R2
C07287,126.1962,C8H14O
C07328,88.1482,C5H12O
C07475,337.4553,C22H27NO2
C07490,149.4036,C2H3Cl3O
C07492,252.268,C15H12N2O2
C07643,277.0854,C7H15Cl2N2O3P
C07645,277.0854,C7H15Cl2N2O3P
C07649,130.0772,C4H3FN2O2
C08492,100.1589,C6H12O
C08578,272.2528,C15H12O5
C08579,584.8708,C40H56O3
C08586,536.8726,C40H56
C08613,534.8568,C40H54
C08650,256.2534,C15H12O4
C08794,558.7028,C32H46O8
C08817,412.6908,C29H48O
C09023,238.3275,C16H18N2
C09131,256.3428,C16H20N2O
C09592,413.4205,C22H23NO7
C09593,399.3939,C21H21NO7
C09707,280.3163,C15H20O5
C09751,272.2528,C15H12O5
C09756,302.2788,C16H14O6
C09762,256.2534,C15H12O4
C09789,580.5346,C27H32O14
C09811,875.6719,C28H44N7O17P3S
C09812,893.6872,C28H46N7O18P3S
C09817,957.7294,C32H46N7O19P3S
C09819,973.7288,C32H46N7O20P3S
C09824,909.6866,C28H46N7O19P3S
C09827,256.2534,C15H12O4
C09848,154.2493,C10H18O
C09884,150.2176,C10H14O
C09893,152.2334,C10H16O
C09906,152.2334,C10H16O
C10377,302.2788,C16H14O6
C10385,749.2011,C53H80O2
C10419,302.2788,C16H14O6
C10520,300.2629,C16H12O6
C10646,360.401,C20H24O6
C10682,358.3851,C20H22O6
C10700,136.1479,C8H8O2
C10945,164.158,C9H8O3
C11101,126.11,C6H6O3
C11398,152.2334,C10H16O
C11404,186.2481,C10H18O3
C11425,242.2268,C14H10O4
C11429,194.2286,C14H10O
C11431,194.2286,C14H10O
C11460,560.3403,C17H26N2O15P2
C11496,200.2764,C5H12O4S2
C11508,410.6749,C29H46O
C11522,412.6908,C29H48O
C11542,952.842,C44H53CoN4O16
C11633,292.3749,C19H20N2O
C11713,144.1699,C10H8O
C11714,144.1699,C10H8O
C11831,610.9415,C35H30MgN4O5
C11859,364.4327,C20H28O6
C11863,316.3915,C19H24O4
C11864,332.3909,C19H24O5
C11883,288.4675,C20H32O
C11884,288.4675,C20H32O
C11915,544.3409,C17H26N2O14P2
C11919,559.3986,C18H31N3O13P2
C11921,546.3567,C17H28N2O14P2
C11934,933.7511,C31H50N7O18P3S
C11947,935.767,C31H52N7O18P3S
C11954,586.7129,C33H46O9
C11962,568.6977,C33H44O8
C11970,600.7395,C34H48O9
C11978,582.7242,C34H46O8
C12044,697.7686,C37H47NO12
C12113,192.1666,C7H12O6
C12145,,C19H38NO4R
C12173,273.327,C16H19NO3
C12176,641.7484,C35H47NO10
C12180,273.327,C16H19NO3
C12204,194.184,C10H10O4
C12247,655.7319,C35H45NO11
C12318,529.3295,C16H25N3O13P2
C12319,543.3561,C17H27N3O13P2
C12348,,C16H17O8SR
C12354,,C20H21O10SR
C12355,,C21H23O10SR
C12389,1085.1454,C52H76O24
C12415,396.3469,C21H16O8
C12417,396.3469,C21H16O8
C12423,410.3735,C22H18O8
C12441,,C19H20NO10SR
C12448,199.2469,C10H17NO3
C12462,,C9H10NO3SR
C12622,182.1733,C9H10O4
C12831,213.4458,C6H3Cl3O2
C13455,248.3175,C15H20O3
C13713,334.4929,C21H34O3
C13782,435.5552,C27H33NO4
C14083,176.2118,C11H12O2
C14085,206.1947,C11H10O4
C14089,158.1965,C11H10O
C14092,206.1947,C11H10O4
C14094,236.1776,C11H8O6
C14104,192.2112,C11H12O3
C14106,222.1941,C11H10O5
C14143,895.66,C27H44N7O19P3S
C14144,893.6442,C27H42N7O19P3S
C14220,214.2167,C13H10O3
C14279,96.0841,C5H4O2
C14453,173.0073,C6H5BrO
C14519,218.25,C16H10O
C14556,268.3087,C20H12O
C14602,125.1253,C6H7NO2
C14724,639.6894,C34H41NO11
C14762,296.4449,C18H32O3
C14840,173.0073,C6H5BrO
C14843,189.0067,C6H5BrO2
C14871,349.3602,C12H19N3O7S
C15485,304.2964,C12H20N2O7
C15518,418.6523,C27H46O3
C15520,418.6523,C27H46O3
C15570,240.254,C15H12O3
C15650,242.1867,C6H11O6PS
C15778,,
C15784,400.6801,C28H48O
C15785,398.6642,C28H46O
C15786,400.6801,C28H48O
C15788,418.6954,C28H50O2
C15791,448.6783,C28H48O4
C15795,416.6795,C28H48O2
C15796,414.6636,C28H46O2
C15797,416.6795,C28H48O2
C15799,434.6948,C28H50O3
C15800,432.6789,C28H48O3
C15859,554.8879,C40H58O
C15874,552.872,C40H56O
C15878,584.9139,C41H60O2
C15892,556.9038,C40H60O
C15928,598.8544,C40H54O4
C16159,160.1247,C6H8O5
C16162,1027.9484,C39H64N7O17P3S
C16164,1053.9857,C41H66N7O17P3S
C16167,1108.0762,C45H72N7O17P3S
C16168,1106.0603,C45H70N7O17P3S
C16171,1110.092,C45H74N7O17P3S
C16172,1108.0762,C45H72N7O17P3S
C16179,1056.0016,C41H68N7O17P3S
C16180,1058.0175,C41H70N7O17P3S
C16203,212.2439,C14H12O2
C16216,1047.9796,C39H68N7O18P3S
C16219,,C18H33O2SR
C16226,298.247,C16H10O6
C16252,432.6789,C28H48O3
C16277,582.898,C41H58O2
C16309,212.2854,C12H20O3
C16327,1043.9478,C39H64N7O18P3S
C16329,1059.9472,C39H64N7O19P3S
C16331,1015.8947,C37H60N7O18P3S
C16333,1031.8941,C37H60N7O19P3S
C16335,987.8415,C35H56N7O18P3S
C16337,1003.8409,C35H56N7O19P3S
C16375,1122.0597,C45H70N7O18P3S
C16388,1124.0756,C45H72N7O18P3S
C16402,199.1641,C7H9N3O4
C16430,431.3376,C15H22N5O8P
C16431,351.3577,C15H21N5O5
C16453,207.2291,C10H13N3O2
C16468,875.6719,C28H44N7O17P3S
C16469,893.6872,C28H46N7O18P3S
C16473,128.1011,C6H5FO2
C16474,160.0999,C6H5FO4
C16493,416.6365,C27H44O3
C16540,630.9727,C35H34MgN4O6
C16553,277.0854,C7H15Cl2N2O3P
C16556,277.0854,C7H15Cl2N2O3P
C16563,780.9566,C30H56N10O10S2
C16586,195.2151,C10H13NO3
C16587,193.1992,C10H11NO3
C16595,193.1992,C10H11NO3
C16648,142.1956,C8H14O2
C16649,160.2108,C8H16O3
C16651,160.2108,C8H16O3
C16701,259.3004,C15H17NO3
C16707,373.4428,C21H27NO5
C17335,432.6359,C27H44O4
C17368,256.3213,C11H16N2O3S
C17580,163.1717,C6H13NO4
C17588,615.6285,C23H45N5O14
C17621,170.2487,C10H18O2
C17622,166.217,C10H14O2
C17692,272.1465,C7H13O9P
C17697,254.1312,C7H11O8P
C17701,455.4574,C17H33N3O11
C18015,314.4186,C20H26O3
C18134,258.3123,C16H18O3
C18153,635.0044,C35H38MgN4O6
C18155,632.9885,C35H36MgN4O6
C18218,272.4235,C16H32O3
C18219,288.4675,C20H32O
C18221,288.4675,C20H32O
C18238,249.9068,C6H4Cl4O2
C18249,236.2653,C16H12O2
C18261,248.276,C17H12O2
C18263,234.2494,C16H10O2
C18264,234.2494,C16H10O2
C18270,286.324,C20H14O2
C18276,286.324,C20H14O2
C18280,284.3081,C20H12O2
C18301,195.0432,C7H8Cl2O2
C18303,225.0261,C7H6Cl2O4
C18306,172.1354,C7H8O5
C18316,138.1207,C7H6O3
C18327,,C16H17O8SR
C18330,,C20H21O10SR
C18333,,C21H23O10SR
C18637,813.8838,C42H55NO15
C18638,811.8679,C42H53NO15
C19589,346.2883,C17H14O8
C19590,350.32,C17H18O8
C19616,298.4608,C18H34O3
C19623,356.583,C22H44O3
C19675,156.1576,C3H8O5S
C19676,220.3505,C15H24O
C19687,238.6702,C11H11ClN2O2
C19822,144.1253,C6H8O4
C19846,,C8H13O3SR
C19931,352.4269,C21H24N2O3
C19933,304.3808,C18H24O4
C19975,901.6662,C29H42N7O18P3S
C20229,220.3505,C15H24O
C20308,218.3346,C15H22O
C20351,322.3117,C12H22N2O8
C20368,911.28,C55H91O8P
C20372,,C6H7O4SR
C20374,,C6H7O3SR
C20376,,C8H11O4SR
C20400,248.3175,C15H20O3
C20449,140.0936,C6H4O4
C20450,156.093,C6H4O5
C20452,370.3527,C20H18O7
C20500,388.368,C20H20O8
C20503,384.3362,C20H16O8
C20505,400.3356,C20H16O9
C20507,358.299,C18H14O8
C20519,260.3315,C15H20N2O2
C20520,256.2997,C15H16N2O2
C20546,519.6716,C32H41NO5
C20608,108.5236,C3H5ClO2
C20614,485.4834,C18H35N3O12
C20717,128.1259,C6H8O3
C20748,893.7104,C28H48N8O17P3S
C20808,83.1317,C5H9N
C20818,244.3106,C10H16N2O3S
C20819,258.3372,C11H18N2O3S
C20829,244.2197,C6H12O8S
C20870,869.689,C25H42N7O17P3S2
C20940,201.2197,C9H15NO4
C20943,152.2334,C10H16O
C20953,182.1733,C9H10O4
C20959,212.0945,C5H9O7P
C21022,,C19H34NO3R
C21086,198.1727,C9H10O5
C21118,544.8485,C35H60O4
C21141,395.5344,C25H33NO3
C21255,307.3434,C12H25N3O6
C21258,304.3428,C12H24N4O5
C21262,616.6133,C23H44N4O15
C21288,219.2365,C12H13NO3
C21290,90.121,C4H10O2
C21317,,C11H20NO13P2R
C21325,182.1766,C8H10N2O3
C21352,514.2718,C15H20N2O14P2
C21379,226.2705,C15H14O2
C21526,785.2332,C56H80O2
C21529,,C18H31OR
C21531,,C18H29OR
C21568,178.1879,C9H10N2O2
C21589,444.4544,C23H26NO8
C21645,,C3H4O3R2
C21666,,C7H11O4R
C21682,354.4427,C21H26N2O3
C21738,242.2699,C15H14O3
C21773,,C7H10O7PR
C02802,889.6306,C28H39FN7O17P3S
C00083,853.5803,C24H38N7O19P3S
C16374,1104.0444,C45H68N7O17P3S
C16387,1106.0603,C45H70N7O17P3S
C21469,1154.0585,C45H70N7O20P3S
C21471,1138.0591,C45H70N7O19P3S
C14117,1005.7722,C36H46N7O19P3S
C16217,1049.9955,C39H70N7O18P3S
